CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2015-5-1,26,21,16,15,14,13,88,73,44,1014,1011,1009,10,8,6,29,16,,0.00,4,,121<br />
2015-5-2,23,20,17,21,18,15,100,88,73,1009,1006,1003,10,7,3,32,21,47,0.00,5,中雨-雷暴,154<br />
2015-5-3,24,20,16,16,14,13,88,75,53,1013,1011,1008,10,9,6,29,21,40,0.00,5,,336<br />
2015-5-4,25,20,16,17,10,-1,94,58,23,1016,1015,1012,10,4,3,29,11,29,0.00,,中雨,25<br />
2015-5-5,24,19,14,9,3,0,59,37,21,1016,1013,1010,,,,21,11,,0.00,,,132<br />
2015-5-6,26,21,17,15,13,9,83,62,42,1012,1009,1007,,,,21,14,,0.00,,,121<br />
2015-5-7,28,22,16,16,14,8,94,67,46,1014,1012,1010,10,7,5,21,10,,0.00,5,,146<br />
2015-5-8,26,21,17,16,14,12,94,69,42,1013,1009,1006,10,9,6,32,16,,0.00,5,中雨,130<br />
2015-5-9,22,19,17,17,16,14,94,81,64,1016,1012,1008,10,9,4,18,11,43,0.00,6,中雨,63<br />
2015-5-10,24,20,16,16,14,12,88,71,50,1016,1014,1013,10,10,10,26,16,40,0.00,3,,122<br />
2015-5-11,23,19,15,21,17,11,94,90,77,1013,1009,1005,10,8,5,43,21,61,0.00,5,中雨,211<br />
2015-5-12,26,19,13,12,9,4,94,55,24,1013,1010,1008,,,,35,18,55,0.00,,,239<br />
2015-5-13,29,22,15,17,12,7,77,52,25,1011,1008,1005,,,,29,14,,0.00,,,178<br />
2015-5-14,28,24,22,21,19,16,83,73,65,1009,1008,1005,10,10,10,26,14,,0.00,3,中雨,184<br />
2015-5-15,25,21,18,22,21,17,100,90,74,1011,1007,1004,10,6,1,26,10,,0.00,4,中雨-雷暴,241<br />
2015-5-16,25,21,17,17,10,3,100,58,29,1014,1012,1010,7,5,4,21,16,32,0.00,5,中雨,40<br />
2015-5-17,25,21,17,17,11,3,83,55,24,1012,1009,1005,10,10,10,26,13,,0.00,3,,131<br />
2015-5-18,22,21,20,21,19,17,100,92,83,1007,1004,1002,7,5,1,18,10,,0.00,6,中雨,170<br />
2015-5-19,29,24,20,21,19,18,100,82,55,1008,1007,1005,8,4,0,18,8,,0.00,6,雾,141<br />
2015-5-20,28,22,17,19,12,5,94,58,24,1017,1012,1008,6,4,3,32,13,43,0.00,5,,27<br />
2015-5-21,25,20,15,12,8,6,72,48,31,1018,1016,1014,,,,21,13,,0.00,,,87<br />
2015-5-22,26,21,16,16,13,11,82,64,41,1015,1012,1009,,,,21,16,,0.00,,,131<br />
2015-5-23,22,21,20,19,17,15,88,79,73,1010,1009,1007,10,10,10,18,11,,0.00,4,,105<br />
2015-5-24,25,22,20,19,18,16,94,76,61,1010,1008,1007,10,9,4,18,10,,0.00,5,中雨,95<br />
2015-5-25,28,23,19,18,16,10,88,66,42,1012,1010,1009,10,10,10,21,11,,0.00,4,,123<br />
2015-5-26,28,23,19,15,11,6,68,48,30,1012,1010,1008,,,,26,14,,0.00,,,120<br />
2015-5-27,25,22,20,20,18,15,94,78,65,1009,1006,1004,10,9,3,26,16,,0.00,6,中雨,112<br />
2015-5-28,25,22,20,20,19,19,100,86,74,1006,1004,1003,10,8,3,18,11,35,0.00,6,,63<br />
2015-5-29,25,23,21,21,20,19,88,85,78,1006,1004,1002,10,10,10,21,16,,0.00,6,,128<br />
2015-5-30,24,23,22,21,19,18,88,81,69,1009,1005,1002,10,8,4,26,13,40,0.00,6,,340<br />
2015-5-31,27,23,21,20,19,18,88,77,61,1009,1008,1007,10,8,6,21,8,32,0.00,5,,125<br />
2015-6-1,29,24,20,21,19,18,94,74,58,1008,1007,1005,8,6,4,21,14,,0.00,3,,129<br />
2015-6-2,25,24,23,24,23,21,100,94,88,1006,1004,1001,10,5,2,21,13,29,0.00,3,中雨-雷暴,125<br />
2015-6-3,26,21,17,24,16,6,100,69,31,1015,1010,1002,10,9,4,26,19,35,0.00,5,中雨,19<br />
2015-6-4,26,21,17,16,12,8,77,58,32,1014,1010,1006,10,10,10,26,10,,0.00,,中雨,154<br />
2015-6-5,28,23,18,19,15,14,88,61,45,1008,1006,1005,10,9,5,18,10,,0.00,6,中雨,256<br />
2015-6-6,32,26,20,19,17,14,88,64,33,1010,1009,1007,7,5,3,29,16,,0.00,,,142<br />
2015-6-7,26,23,21,22,19,18,94,81,69,1010,1008,1007,10,9,6,26,16,,0.00,4,中雨,130<br />
2015-6-8,23,22,21,22,21,20,100,92,88,1007,1005,1004,10,8,5,18,8,26,0.00,7,中雨,42<br />
2015-6-9,27,23,21,21,19,16,100,81,61,1007,1006,1006,8,6,3,21,8,,0.00,2,中雨,164<br />
2015-6-10,27,24,22,23,21,19,94,85,78,1006,1004,1002,10,9,5,18,13,,0.00,6,中雨,155<br />
2015-6-11,31,27,23,23,21,18,94,72,48,1006,1003,1002,8,6,5,29,13,,0.00,,中雨,230<br />
2015-6-12,35,29,23,22,19,13,89,60,30,1007,1006,1004,,,,21,11,,0.00,,,208<br />
2015-6-13,33,28,24,23,21,20,83,67,49,1006,1004,1003,,,,26,13,32,0.00,,,193<br />
2015-6-14,32,28,24,23,20,19,78,67,49,1009,1007,1005,,,,26,13,,0.00,,,200<br />
2015-6-15,28,24,22,24,22,20,100,86,74,1009,1007,1006,10,6,1,14,6,35,0.00,4,中雨,124<br />
2015-6-16,23,22,21,22,21,20,100,94,88,1007,1005,1003,10,7,4,18,11,40,0.00,6,中雨-雷暴,84<br />
2015-6-17,26,23,21,25,22,20,100,95,88,1003,1000,998,10,7,3,26,13,32,0.00,5,中雨-雷暴,81<br />
2015-6-18,25,23,21,21,20,19,94,86,73,1008,1005,1002,10,10,7,18,11,29,0.00,6,中雨,47<br />
2015-6-19,27,23,19,21,19,18,94,76,58,1010,1008,1007,10,8,2,18,8,35,0.00,5,,126<br />
2015-6-20,29,24,21,21,20,19,94,77,58,1009,1008,1007,10,10,10,18,13,,0.00,5,,142<br />
2015-6-21,28,24,20,22,21,19,94,82,58,1010,1009,1008,10,7,4,21,11,,0.00,2,中雨,136<br />
2015-6-22,25,22,20,23,21,19,100,92,83,1009,1007,1005,10,8,4,14,13,,0.00,6,中雨,129<br />
2015-6-23,30,27,23,25,23,23,100,86,70,1009,1007,1006,10,7,3,18,8,,0.00,2,,50<br />
2015-6-24,33,29,25,26,24,23,89,81,66,1007,1004,1002,10,7,5,18,10,,0.00,4,中雨,114<br />
2015-6-25,36,31,26,26,25,24,94,73,53,1002,999,997,10,6,3,29,11,,0.00,1,,219<br />
2015-6-26,28,26,23,25,23,22,100,92,84,1004,1001,998,10,8,2,21,11,,0.00,7,中雨-雷暴,2<br />
2015-6-27,24,22,21,22,21,21,100,92,83,1006,1004,1001,10,10,4,26,13,35,0.00,6,中雨-雷暴,82<br />
2015-6-28,23,22,21,22,21,20,100,94,88,1008,1007,1005,10,9,3,18,11,32,0.00,7,中雨,80<br />
2015-6-29,27,24,22,25,23,21,94,91,84,1007,1004,1001,10,7,4,18,13,,0.00,6,中雨,142<br />
2015-6-30,33,27,22,27,24,21,100,86,70,1001,998,996,10,6,2,32,13,,0.00,4,中雨,245<br />
2015-7-1,28,23,19,21,20,18,100,85,62,1002,1001,999,10,9,4,18,10,,0.00,4,中雨,143<br />
2015-7-2,29,26,22,22,20,19,94,74,58,1005,1002,1001,10,6,5,14,5,,0.00,1,,144<br />
2015-7-3,29,26,23,21,20,18,88,72,51,1008,1005,1004,8,6,4,18,10,,0.00,1,,109<br />
2015-7-4,24,22,20,22,18,15,94,80,65,1011,1009,1006,10,5,2,14,10,29,0.00,1,中雨,112<br />
2015-7-5,24,21,18,19,18,16,94,81,69,1011,1010,1009,10,10,10,21,8,,0.00,3,中雨,110<br />
2015-7-6,21,19,18,19,17,14,94,89,68,1011,1010,1008,10,10,10,26,10,,0.00,2,中雨,39<br />
2015-7-7,23,20,18,20,19,17,100,90,78,1008,1007,1006,10,9,3,26,16,,0.00,6,中雨,13<br />
2015-7-8,25,23,21,21,21,20,94,86,78,1010,1008,1007,10,9,6,18,11,,0.00,6,中雨,14<br />
2015-7-9,28,26,23,25,23,20,100,90,79,1010,1009,1008,10,7,3,21,13,,0.00,6,中雨,39<br />
2015-7-10,30,27,24,24,23,22,100,83,66,1008,1006,1002,10,9,3,35,21,61,0.00,6,中雨,43<br />
2015-7-11,25,24,23,23,23,23,100,94,89,1001,992,986,10,8,5,47,37,72,0.00,7,中雨,29<br />
2015-7-12,30,27,23,23,23,21,100,84,58,1000,993,986,10,9,5,32,26,55,0.00,7,中雨,273<br />
2015-7-13,34,29,25,25,23,22,89,72,49,1003,1001,1000,8,6,4,18,10,,0.00,5,,222<br />
2015-7-14,34,29,25,25,23,21,94,70,49,1004,1002,1001,8,6,5,18,8,,0.00,5,,126<br />
2015-7-15,32,28,25,23,22,21,83,71,55,1003,1002,1001,10,10,10,21,13,,0.00,5,,110<br />
2015-7-16,30,28,25,23,22,21,89,75,62,1003,1002,1001,10,10,10,21,16,,0.00,4,,109<br />
2015-7-17,28,27,25,23,22,22,83,78,70,1005,1003,1002,10,10,10,26,19,35,0.00,6,中雨,116<br />
2015-7-18,30,27,24,24,23,22,94,82,70,1006,1004,1003,10,10,10,21,19,,0.00,6,中雨,118<br />
2015-7-19,32,28,24,24,23,21,89,75,55,1007,1006,1005,10,10,10,26,14,35,0.00,4,,96<br />
2015-7-20,32,29,26,24,23,22,89,75,59,1006,1006,1005,10,10,10,21,11,,0.00,4,,105<br />
2015-7-21,31,28,26,25,24,23,89,81,66,1006,1005,1004,10,9,7,14,8,,0.00,4,,87<br />
2015-7-22,32,29,26,27,26,25,94,87,66,1005,1004,1002,10,9,6,21,10,,0.00,4,中雨-雷暴,107<br />
2015-7-23,31,29,27,27,26,25,94,89,70,1005,1004,1003,10,8,1,21,10,26,0.00,2,中雨-雷暴,181<br />
2015-7-24,34,30,26,26,26,24,94,77,59,1004,1003,1002,10,8,4,21,11,,0.00,3,中雨,184<br />
2015-7-25,36,31,27,27,26,24,94,77,53,1004,1003,1002,10,9,5,18,10,,0.00,4,中雨-雷暴,191<br />
2015-7-26,36,31,27,27,26,23,94,74,47,1007,1005,1004,10,6,2,18,8,,0.00,3,雷暴,257<br />
2015-7-27,38,33,29,28,26,23,84,64,44,1008,1007,1006,10,10,7,18,10,29,0.00,4,,210<br />
2015-7-28,38,33,29,27,24,22,84,61,42,1009,1008,1006,10,10,10,26,13,35,0.00,2,,216<br />
2015-7-29,38,34,30,26,24,21,79,59,37,1009,1007,1005,,,,26,13,32,0.00,,,201<br />
2015-7-30,36,31,27,24,22,20,70,56,39,1009,1008,1006,,,,21,13,,0.00,,,195<br />
2015-7-31,38,33,29,25,23,21,79,58,37,1009,1008,1006,10,10,10,21,13,,0.00,2,,200<br />
2015-8-1,38,33,29,28,26,22,89,69,39,1009,1008,1007,10,7,6,26,11,35,0.00,1,中雨-雷暴,134<br />
2015-8-2,38,33,28,27,25,24,89,65,44,1010,1008,1007,10,10,10,21,14,,0.00,4,,161<br />
2015-8-3,38,33,29,27,25,24,79,64,47,1008,1007,1005,10,10,10,21,14,,0.00,2,,159<br />
2015-8-4,39,33,28,26,24,21,79,59,37,1007,1005,1003,10,10,10,21,16,,0.00,1,,173<br />
2015-8-5,38,33,28,25,24,22,79,63,44,1006,1005,1003,10,10,10,29,16,47,0.00,2,,147<br />
2015-8-6,35,31,27,25,23,19,84,67,39,1009,1007,1005,10,10,10,29,23,,0.00,3,,138<br />
2015-8-7,34,31,29,26,25,25,84,73,59,1011,1009,1008,10,10,10,26,18,40,0.00,5,雷暴,104<br />
2015-8-8,33,31,29,26,25,25,84,75,63,1010,1009,1007,10,10,10,32,23,43,0.00,5,中雨,93<br />
2015-8-9,31,29,28,26,25,24,84,77,66,1008,1007,1006,10,10,10,32,27,47,0.00,6,中雨,100<br />
2015-8-10,30,28,27,26,26,25,89,86,74,1007,1004,1002,10,10,10,32,23,55,0.00,6,中雨,122<br />
2015-8-11,30,28,25,25,23,21,94,79,62,1006,1002,1001,10,10,10,32,26,50,0.00,6,中雨,243<br />
2015-8-12,32,28,24,23,22,21,89,72,52,1009,1007,1006,10,10,10,21,16,32,0.00,5,,338<br />
2015-8-13,32,28,25,23,22,18,89,69,46,1009,1007,1005,10,9,7,18,8,,0.00,3,,145<br />
2015-8-14,33,29,25,23,21,18,83,64,41,1007,1006,1005,10,10,10,21,11,,0.00,1,,132<br />
2015-8-15,32,28,25,24,23,22,83,73,62,1007,1005,1004,10,10,10,21,14,,0.00,4,,106<br />
2015-8-16,30,28,26,24,23,21,89,78,66,1007,1005,1004,10,10,10,18,10,40,0.00,3,中雨,70<br />
2015-8-17,32,28,24,23,21,19,89,68,46,1009,1008,1006,10,10,10,18,11,35,0.00,4,,55<br />
2015-8-18,33,29,25,23,22,20,89,71,49,1011,1009,1008,10,9,6,21,13,29,0.00,3,,104<br />
2015-8-19,34,29,25,24,22,20,89,66,44,1010,1009,1007,10,10,10,21,13,,0.00,2,,120<br />
2015-8-20,32,28,25,26,24,23,94,80,66,1008,1006,1004,10,9,6,26,18,29,0.00,5,中雨,231<br />
2015-8-21,29,27,25,24,23,22,94,85,70,1007,1006,1005,10,10,3,18,13,,0.00,5,中雨,18<br />
2015-8-22,25,24,23,24,22,20,100,88,74,1007,1005,1005,10,9,6,18,8,26,0.00,3,中雨,73<br />
2015-8-23,25,24,24,24,23,22,100,93,83,1005,1004,1003,10,8,4,21,14,35,0.00,6,中雨,20<br />
2015-8-24,25,23,22,25,23,21,100,95,83,1003,1002,1000,10,6,1,32,16,50,0.00,6,中雨,345<br />
2015-8-25,30,26,22,22,21,20,94,77,55,1008,1005,1003,10,9,5,29,19,47,0.00,4,,312<br />
2015-8-26,31,27,23,23,22,19,94,75,55,1010,1009,1007,10,7,5,21,10,,0.00,3,,256<br />
2015-8-27,32,28,24,23,21,18,89,69,43,1010,1009,1007,8,5,3,18,8,,0.00,,,214<br />
2015-8-28,32,28,24,24,22,20,89,77,52,1009,1008,1007,8,6,2,26,8,29,0.00,5,中雨-雷暴,44<br />
2015-8-29,30,28,25,24,23,21,94,79,58,1009,1007,1006,7,6,4,26,10,,0.00,2,中雨-雷暴,79<br />
2015-8-30,31,27,24,23,21,19,94,72,49,1010,1009,1007,10,7,5,18,8,40,0.00,3,,81<br />
2015-8-31,30,27,24,23,22,20,94,73,55,1010,1009,1008,10,9,5,18,8,40,0.00,4,,104<br />
2015-9-1,32,28,24,23,22,20,89,72,52,1010,1009,1007,10,9,5,21,11,,0.00,4,,134<br />
2015-9-2,32,28,25,24,23,20,94,75,52,1012,1011,1010,8,6,4,21,10,29,0.00,4,,162<br />
2015-9-3,32,27,23,23,20,18,89,66,46,1014,1013,1012,10,7,5,21,11,35,0.00,2,,325<br />
2015-9-4,31,28,25,23,22,20,83,69,55,1014,1012,1009,10,7,4,21,13,40,0.00,1,中雨,128<br />
2015-9-5,30,28,24,25,24,20,100,84,66,1009,1005,1002,10,7,3,32,16,55,0.00,3,中雨,246<br />
2015-9-6,31,27,23,22,21,20,89,75,52,1009,1006,1005,10,9,5,29,18,40,0.00,4,,327<br />
2015-9-7,30,26,22,22,20,18,94,71,48,1012,1010,1008,10,10,10,21,14,32,0.00,4,,5<br />
2015-9-8,30,27,23,21,18,16,88,64,43,1015,1013,1012,10,10,10,21,11,43,0.00,3,,44<br />
2015-9-9,29,26,22,19,16,13,78,57,37,1017,1015,1014,10,10,10,21,11,,0.00,3,,36<br />
2015-9-10,30,25,20,19,16,15,78,59,40,1017,1015,1013,,,,18,8,32,0.00,,,17<br />
2015-9-11,31,26,21,19,17,9,83,59,32,1014,1012,1010,10,10,10,18,8,35,0.00,2,,86<br />
2015-9-12,25,22,19,20,18,14,94,74,60,1018,1015,1012,10,8,3,29,16,,0.00,3,中雨,305<br />
2015-9-13,27,22,17,16,13,10,88,58,39,1020,1019,1017,,,,21,11,35,0.00,,,1<br />
2015-9-14,27,23,20,17,16,14,73,60,47,1019,1018,1017,10,10,10,18,10,40,0.00,2,,111<br />
2015-9-15,24,22,20,20,19,17,94,89,65,1018,1017,1015,10,8,4,18,6,,0.00,5,中雨,25<br />
2015-9-16,25,22,20,20,19,18,94,80,65,1017,1016,1014,10,9,7,29,13,40,0.00,5,,355<br />
2015-9-17,27,23,19,19,17,16,94,70,51,1018,1017,1016,10,9,7,18,11,,0.00,3,,359<br />
2015-9-18,27,23,19,19,17,15,88,66,48,1018,1016,1015,10,10,10,14,8,26,0.00,3,,22<br />
2015-9-19,29,24,21,19,17,13,83,64,39,1016,1014,1012,10,10,10,21,11,40,0.00,1,,40<br />
2015-9-20,26,23,21,19,18,16,78,69,61,1014,1013,1011,10,10,10,18,10,32,0.00,3,,58<br />
2015-9-21,28,24,20,20,17,15,94,66,45,1014,1013,1012,10,9,8,18,10,43,0.00,3,,68<br />
2015-9-22,26,23,22,22,21,17,94,82,65,1013,1012,1010,10,7,4,18,13,29,0.00,5,中雨,119<br />
2015-9-23,27,24,22,22,21,19,100,85,65,1009,1007,1005,10,8,2,32,13,,0.00,5,中雨,275<br />
2015-9-24,29,24,21,21,20,18,94,77,54,1009,1008,1006,10,9,7,21,13,35,0.00,3,,6<br />
2015-9-25,27,24,22,21,19,18,94,74,58,1010,1007,1006,10,9,5,21,11,43,0.00,2,中雨,14<br />
2015-9-26,29,24,20,20,18,15,94,69,42,1013,1011,1010,10,9,5,21,14,40,0.00,2,,28<br />
2015-9-27,28,24,20,19,17,13,94,67,39,1015,1013,1012,10,9,7,26,14,35,0.00,3,,26<br />
2015-9-28,27,23,21,22,20,19,94,81,61,1015,1014,1013,10,9,4,29,16,55,0.00,6,中雨,43<br />
2015-9-29,24,23,22,23,22,21,100,91,83,1017,1016,1014,10,10,2,29,21,47,0.00,8,中雨,68<br />
2015-9-30,30,27,24,25,25,23,100,89,74,1016,1012,1009,10,10,10,26,18,40,0.00,5,中雨,135<br />
2015-10-1,26,22,18,25,18,10,94,78,53,1018,1012,1007,10,9,6,32,19,50,0.00,6,中雨,279<br />
2015-10-2,27,21,15,15,12,10,77,58,39,1019,1017,1016,,,,18,10,,0.00,,,202<br />
2015-10-3,28,23,18,18,16,13,88,68,42,1023,1020,1017,10,10,10,14,6,,0.00,4,,125<br />
2015-10-4,25,21,18,18,17,14,94,75,57,1024,1023,1022,10,10,8,21,11,29,0.00,2,中雨,92<br />
2015-10-5,20,19,18,18,17,15,94,88,78,1024,1022,1020,10,9,4,14,6,32,0.00,6,中雨,79<br />
2015-10-6,25,22,19,19,17,16,94,76,57,1020,1019,1017,10,10,10,18,10,,0.00,5,,90<br />
2015-10-7,24,22,21,18,17,14,83,70,57,1017,1014,1012,10,10,10,26,16,,0.00,5,中雨,116<br />
2015-10-8,21,19,18,18,17,15,94,83,68,1017,1013,1011,10,9,7,21,14,29,0.00,6,中雨,55<br />
2015-10-9,25,21,17,17,16,14,94,76,54,1016,1015,1013,10,8,3,18,11,,0.00,2,,288<br />
2015-10-10,25,20,15,15,11,7,94,60,32,1019,1015,1012,7,6,5,35,13,,0.00,,,272<br />
2015-10-11,22,18,14,12,6,0,77,47,25,1022,1020,1019,10,10,10,21,11,,0.00,1,,299<br />
2015-10-12,24,18,12,11,7,4,88,51,29,1024,1023,1021,8,6,5,18,5,,0.00,,,312<br />
2015-10-13,25,19,13,13,9,5,82,55,29,1025,1023,1021,8,6,4,11,5,,0.00,,,256<br />
2015-10-14,24,19,15,14,11,5,88,59,31,1022,1020,1019,6,5,4,18,6,,0.00,,,124<br />
2015-10-15,27,21,16,16,14,12,83,64,42,1020,1018,1017,,,,14,8,,0.00,,,131<br />
2015-10-16,27,22,17,18,15,10,94,69,46,1020,1019,1017,10,8,6,14,6,35,0.00,3,,97<br />
2015-10-17,26,21,16,17,13,10,88,63,36,1021,1019,1018,8,8,8,18,8,35,0.00,,,78<br />
2015-10-18,25,20,16,17,14,12,94,66,44,1021,1019,1018,10,9,5,18,8,40,0.00,4,,62<br />
2015-10-19,26,21,16,17,14,12,88,67,44,1019,1016,1014,10,10,7,21,10,29,0.00,5,,43<br />
2015-10-20,26,21,17,17,16,15,88,71,51,1016,1014,1013,10,9,8,21,10,43,0.00,3,,89<br />
2015-10-21,26,21,16,18,16,14,94,70,47,1018,1016,1015,10,10,10,18,10,35,0.00,3,,64<br />
2015-10-22,27,22,17,19,17,15,94,74,51,1019,1018,1016,10,7,3,18,10,35,0.00,3,,53<br />
2015-10-23,26,21,17,19,17,16,94,75,57,1019,1017,1016,10,9,5,14,10,32,0.00,3,,77<br />
2015-10-24,27,23,19,20,18,16,100,77,58,1021,1019,1017,10,8,4,21,10,35,0.00,3,,68<br />
2015-10-25,24,21,18,18,16,15,94,76,61,1023,1021,1019,10,8,3,18,11,32,0.00,4,,54<br />
2015-10-26,26,22,19,20,17,14,88,74,61,1020,1016,1014,10,9,4,21,13,,0.00,3,中雨,126<br />
