CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2015-10-27,22,18,14,20,12,7,100,72,49,1022,1018,1014,10,6,3,32,19,50,0.00,6,中雨-雷暴,298<br />
2015-10-28,21,16,11,11,7,3,88,56,31,1023,1022,1021,10,10,10,11,6,,0.00,,中雨,339<br />
2015-10-29,18,16,14,15,13,11,100,88,64,1023,1021,1020,10,7,4,26,13,35,0.00,8,中雨,30<br />
2015-10-30,18,17,15,15,11,7,100,72,55,1030,1026,1023,10,9,6,29,18,43,0.00,5,中雨,5<br />
2015-10-31,19,16,13,11,8,6,82,60,43,1031,1029,1028,10,10,10,21,16,32,0.00,,中雨,11<br />
2015-11-1,15,13,12,13,11,10,100,88,77,1028,1026,1024,10,7,4,21,10,,0.00,6,中雨,315<br />
2015-11-2,18,14,10,10,7,3,94,65,37,1027,1026,1025,8,5,3,18,10,,0.00,,,298<br />
2015-11-3,20,14,9,12,10,7,93,71,46,1028,1027,1025,10,5,3,18,5,35,0.00,3,,99<br />
2015-11-4,20,18,15,18,15,11,94,83,68,1026,1024,1022,10,6,2,21,10,,0.00,6,中雨,121<br />
2015-11-5,25,21,18,19,18,17,100,87,69,1023,1020,1019,10,6,1,14,6,,0.00,5,中雨,132<br />
2015-11-6,26,23,20,21,20,19,94,87,69,1020,1018,1016,10,9,5,26,16,,0.00,3,中雨,137<br />
2015-11-7,27,21,15,23,19,13,94,90,74,1019,1016,1014,10,6,3,26,14,,0.00,5,中雨-雷暴,233<br />
2015-11-8,15,14,12,13,12,11,100,92,88,1022,1020,1019,5,3,2,21,16,,0.00,8,中雨,315<br />
2015-11-9,14,13,11,11,10,8,94,84,72,1027,1024,1021,7,5,3,26,18,,0.00,6,中雨,315<br />
2015-11-10,17,13,9,8,7,6,87,67,52,1028,1026,1025,7,5,4,21,13,32,0.00,1,,357<br />
2015-11-11,19,14,11,10,9,7,82,67,52,1027,1026,1024,10,10,10,21,13,43,0.00,3,,25<br />
2015-11-12,17,16,14,15,13,10,100,88,68,1026,1023,1020,7,4,1,11,8,,0.00,3,中雨,352<br />
2015-11-13,16,14,14,15,13,11,100,89,77,1020,1017,1016,10,6,3,21,11,,0.00,5,中雨,259<br />
2015-11-14,18,16,13,11,9,8,82,71,52,1020,1018,1016,10,5,4,21,14,,0.00,5,中雨,297<br />
2015-11-15,20,16,11,14,11,9,94,73,56,1021,1019,1016,8,5,2,21,6,,0.00,4,,122<br />
2015-11-16,20,18,16,17,16,14,94,87,82,1017,1015,1013,8,5,3,26,14,29,0.00,5,中雨,214<br />
2015-11-17,17,16,14,16,14,13,100,93,88,1019,1017,1015,10,6,3,21,14,35,0.00,8,中雨,26<br />
2015-11-18,17,16,14,16,13,10,94,87,77,1024,1019,1014,10,9,3,26,16,,0.00,6,中雨,8<br />
2015-11-19,15,14,13,13,11,10,94,83,77,1023,1022,1021,10,9,5,14,10,,0.00,7,中雨,18<br />
2015-11-20,16,14,13,14,12,10,94,87,77,1024,1023,1022,10,8,3,18,10,35,0.00,7,中雨,28<br />
2015-11-21,17,16,15,17,16,14,100,96,88,1024,1023,1021,10,5,1,21,8,40,0.00,8,中雨,65<br />
2015-11-22,20,18,17,18,16,15,94,89,78,1024,1022,1021,10,9,6,21,14,35,0.00,7,中雨,90<br />
2015-11-23,19,17,15,18,16,12,100,90,77,1025,1022,1020,10,6,3,26,13,,0.00,7,中雨,336<br />
2015-11-24,16,13,10,13,11,10,100,85,72,1025,1024,1022,10,9,4,26,19,43,0.00,6,中雨,27<br />
2015-11-25,10,8,5,10,4,-1,100,80,65,1027,1025,1024,10,10,10,32,24,47,0.00,6,中雨,314<br />
2015-11-26,5,2,0,-1,-5,-9,70,57,41,1032,1029,1026,10,10,10,35,29,55,0.00,4,,307<br />
2015-11-27,7,2,-2,-5,-7,-10,69,50,29,1032,1030,1028,,,,26,13,,0.00,,,297<br />
2015-11-28,15,10,6,7,0,-5,82,52,29,1030,1028,1026,10,10,10,11,5,,0.00,,中雨,165<br />
2015-11-29,12,10,8,10,9,6,100,92,76,1028,1026,1024,10,5,1,6,5,,0.00,5,雾-中雨,216<br />
2015-11-30,17,12,7,11,9,7,100,83,59,1026,1024,1023,4,2,0,18,5,43,0.00,3,雾,52<br />
2015-12-1,18,13,9,12,10,8,100,77,59,1024,1022,1019,10,4,2,21,8,35,0.00,1,,106<br />
2015-12-2,15,12,9,13,9,-1,94,77,50,1025,1020,1018,8,5,2,32,13,,0.00,4,中雨,309<br />
2015-12-3,13,8,4,2,-3,-7,75,46,25,1029,1025,1022,,,,35,18,47,0.00,,,289<br />
2015-12-4,10,7,4,-1,-6,-8,61,42,28,1032,1030,1029,,,,21,14,,0.00,,,303<br />
2015-12-5,9,6,2,3,1,-4,93,73,40,1031,1029,1027,10,6,4,18,5,,0.00,8,中雨,295<br />
2015-12-6,9,6,2,4,3,2,100,82,62,1031,1030,1028,5,4,2,18,10,,0.00,8,中雨,306<br />
2015-12-7,14,8,2,6,4,1,100,76,44,1032,1030,1029,10,6,1,18,6,29,0.00,3,雾,17<br />
2015-12-8,14,9,4,7,5,3,100,73,51,1033,1031,1029,10,10,10,18,10,35,0.00,4,,57<br />
2015-12-9,15,12,9,13,10,6,100,83,67,1030,1024,1018,10,5,2,18,10,,0.00,7,中雨,70<br />
2015-12-10,13,12,12,13,12,11,100,96,94,1019,1016,1014,5,3,2,29,13,,0.00,8,中雨,292<br />
2015-12-11,12,8,5,11,6,1,94,80,66,1025,1022,1019,10,6,2,26,18,,0.00,6,,340<br />
2015-12-12,13,8,3,6,3,1,87,70,47,1025,1024,1021,10,8,5,14,8,,0.00,4,,10<br />
2015-12-13,10,8,7,8,6,5,93,86,76,1024,1023,1021,8,5,3,21,10,,0.00,8,中雨,340<br />
2015-12-14,10,8,7,5,3,-1,81,68,47,1025,1023,1022,6,4,2,26,14,40,0.00,8,,300<br />
2015-12-15,10,8,6,3,1,-1,71,60,47,1027,1025,1024,5,3,2,26,16,,0.00,,,310<br />
2015-12-16,8,4,2,1,-7,-13,66,43,23,1032,1029,1027,7,5,4,35,21,50,0.00,,,316<br />
2015-12-17,5,2,0,-6,-10,-14,64,40,24,1035,1034,1032,,,,32,19,40,0.00,,,321<br />
2015-12-18,10,4,-2,1,-5,-10,76,53,29,1036,1034,1032,,,,14,8,,0.00,,,357<br />
2015-12-19,11,6,1,5,2,-1,93,68,50,1035,1033,1030,,,,18,10,40,0.00,,,69<br />
2015-12-20,11,9,7,10,8,5,100,90,71,1030,1027,1024,10,5,2,21,10,,0.00,6,中雨,6<br />
2015-12-21,10,8,5,6,4,3,93,81,66,1030,1028,1027,6,4,2,18,11,,0.00,4,,11<br />
2015-12-22,16,11,7,12,9,5,94,85,77,1027,1023,1020,6,5,2,18,6,,0.00,5,中雨,128<br />
2015-12-23,12,10,9,10,8,7,94,87,76,1024,1022,1021,5,2,1,21,14,26,0.00,4,中雨,334<br />
2015-12-24,11,9,8,9,8,7,94,89,76,1026,1022,1020,10,6,3,18,13,35,0.00,7,中雨,14<br />
2015-12-25,10,8,5,7,4,0,93,79,54,1027,1025,1023,5,3,2,18,13,,0.00,2,中雨,290<br />
2015-12-26,14,8,2,7,3,1,100,77,44,1025,1023,1021,8,2,0,18,8,,0.00,6,雾,208<br />
2015-12-27,12,9,6,7,4,1,87,74,62,1035,1029,1024,10,7,3,32,11,43,0.00,6,中雨,17<br />
2015-12-28,8,6,3,1,-1,-2,81,66,50,1038,1036,1035,10,10,10,21,14,,0.00,4,,1<br />
2015-12-29,11,6,2,2,0,-1,81,66,47,1036,1033,1030,10,9,6,14,6,,0.00,2,,68<br />
2015-12-30,13,8,3,5,3,1,93,70,51,1032,1030,1028,8,6,4,14,5,32,0.00,,,291<br />
2015-12-31,11,7,4,3,1,-4,87,68,37,1036,1034,1031,8,3,1,21,14,,0.00,,,348<br />
2016-1-1,13,7,1,6,2,-1,93,67,44,1035,1031,1026,8,7,7,21,8,,0.00,,,137<br />
2016-1-2,17,13,9,7,4,1,87,61,37,1026,1023,1021,8,6,3,18,8,,0.00,,,222<br />
2016-1-3,16,13,10,9,8,3,88,72,59,1022,1021,1019,7,5,3,6,3,,0.00,5,中雨,195<br />
2016-1-4,15,12,10,11,9,8,94,83,63,1022,1020,1019,7,4,2,18,10,35,0.00,8,中雨,52<br />
2016-1-5,12,10,8,11,8,5,94,87,76,1026,1022,1018,10,8,2,40,23,61,0.00,8,中雨,40<br />
2016-1-6,10,8,7,6,4,3,87,76,66,1029,1026,1024,10,10,7,26,18,,0.00,4,中雨,17<br />
2016-1-7,10,7,3,4,3,1,93,77,62,1030,1028,1027,10,7,4,21,10,,0.00,4,,341<br />
2016-1-8,8,6,4,1,-5,-10,76,49,27,1029,1027,1026,,,,18,14,,0.00,,,354<br />
2016-1-9,11,6,1,-1,-3,-5,81,54,35,1029,1027,1025,8,6,5,14,5,,0.00,,,127<br />
2016-1-10,11,9,8,7,4,-2,87,69,50,1026,1024,1023,10,9,7,18,11,35,0.00,7,中雨,87<br />
2016-1-11,9,7,5,7,5,3,93,86,66,1028,1024,1023,10,8,4,26,18,43,0.00,7,中雨,31<br />
2016-1-12,5,3,2,3,0,-3,87,74,61,1030,1028,1027,10,10,10,21,18,,0.00,6,中雨,348<br />
2016-1-13,4,2,-1,-3,-4,-5,80,68,52,1029,1028,1025,7,5,4,21,16,,0.00,3,,310<br />
2016-1-14,7,3,-1,0,-3,-4,87,68,49,1028,1025,1022,6,4,3,14,8,,0.00,,,287<br />
2016-1-15,11,6,2,1,-2,-9,87,56,27,1023,1021,1019,7,4,3,18,5,26,0.00,,,302<br />
2016-1-16,12,6,1,3,-1,-2,87,61,38,1022,1020,1017,8,6,4,21,6,40,0.00,3,中雨,91<br />
2016-1-17,9,7,4,7,4,2,93,82,66,1020,1016,1014,10,6,2,29,14,,0.00,6,中雨,8<br />
2016-1-18,5,2,0,3,-2,-6,93,71,56,1029,1024,1020,8,5,2,32,18,43,0.00,4,,328<br />
2016-1-19,4,1,-2,-6,-8,-12,74,56,31,1033,1031,1029,8,7,5,21,14,,0.00,,,338<br />
2016-1-20,5,1,-2,1,-4,-8,93,64,49,1034,1031,1029,10,10,10,21,13,35,0.00,4,中雨-中雪,19<br />
2016-1-21,4,3,2,2,1,0,93,90,75,1030,1028,1027,10,9,7,26,16,,0.00,6,中雨-中雪,16<br />
2016-1-22,5,3,1,2,0,-2,100,80,61,1035,1030,1027,10,9,5,29,18,43,0.00,7,中雨-中雪,20<br />
2016-1-23,2,-2,-5,1,-8,-15,93,64,37,1040,1037,1035,10,7,3,43,27,64,0.00,5,中雨-中雪,327<br />
2016-1-24,-4,-6,-7,-10,-16,-19,74,44,31,1042,1040,1038,10,9,6,47,29,68,0.00,5,中雪,304<br />
2016-1-25,2,-2,-6,-9,-13,-16,64,45,26,1041,1037,1034,,,,26,16,,0.00,,,260<br />
2016-1-26,8,1,-5,-4,-8,-10,86,54,27,1034,1032,1030,,,,14,6,,0.00,,,212<br />
2016-1-27,6,4,4,6,2,-5,100,80,52,1030,1028,1026,10,6,3,14,5,26,0.00,8,中雨,90<br />
2016-1-28,8,7,6,8,7,5,100,98,93,1026,1022,1019,7,3,0,18,8,,0.00,8,雾-中雨,348<br />
2016-1-29,8,6,4,8,5,2,100,92,81,1027,1023,1020,10,8,3,29,18,32,0.00,8,中雨,3<br />
2016-1-30,7,4,2,2,1,0,87,77,61,1032,1028,1026,10,10,10,21,16,35,0.00,5,,359<br />
2016-1-31,6,2,-1,0,-1,-2,100,82,57,1034,1032,1029,10,7,3,29,14,35,0.00,6,中雨-中雪,358<br />
2016-2-1,2,0,-1,0,-3,-6,100,77,56,1036,1034,1032,10,8,4,29,19,40,0.00,5,中雪,340<br />
2016-2-2,6,2,-2,-3,-7,-10,80,57,31,1035,1032,1029,8,8,7,21,14,,0.00,,,331<br />
2016-2-3,8,3,-1,-1,-4,-9,87,61,31,1032,1030,1028,8,5,3,14,6,29,0.00,,,51<br />
2016-2-4,7,3,-1,1,-1,-3,87,75,61,1030,1028,1026,,,,11,5,,0.00,,,30<br />
2016-2-5,10,5,0,-1,-3,-6,93,60,32,1029,1027,1025,8,6,5,18,10,,0.00,,,315<br />
2016-2-6,7,3,1,-1,-6,-10,87,51,29,1031,1030,1028,10,7,7,32,16,43,0.00,,中雪,331<br />
2016-2-7,10,4,-2,-3,-7,-11,86,49,22,1030,1025,1022,8,7,7,26,8,32,0.00,,,230<br />
2016-2-8,15,7,-1,0,-3,-7,86,50,22,1024,1022,1019,8,8,7,21,8,40,0.00,,,202<br />
2016-2-9,21,11,2,3,0,-2,87,50,25,1023,1021,1020,,,,14,6,,0.00,,,162<br />
2016-2-10,21,14,8,10,5,-2,77,56,33,1020,1018,1016,10,10,10,29,16,,0.00,6,,143<br />
2016-2-11,20,17,13,16,13,10,94,87,73,1017,1014,1012,10,8,5,26,21,,0.00,5,中雨,142<br />
2016-2-12,23,18,14,15,14,12,100,85,61,1014,1012,1008,7,3,1,18,13,,0.00,6,雾,128<br />
2016-2-13,16,12,6,15,10,3,94,87,76,1021,1011,1005,10,7,4,40,18,55,0.00,5,中雨,262<br />
2016-2-14,6,3,1,3,-3,-9,87,63,39,1032,1026,1021,10,10,10,40,31,55,0.00,5,中雨,332<br />
2016-2-15,6,2,-1,-6,-9,-12,60,43,27,1032,1030,1027,,,,29,19,47,0.00,,,299<br />
2016-2-16,11,6,0,-4,-7,-10,70,45,24,1030,1027,1024,,,,29,13,43,0.00,,,263<br />
2016-2-17,12,6,0,-1,-6,-10,75,44,24,1029,1027,1026,,,,14,6,,0.00,,,249<br />
2016-2-18,16,10,4,2,-2,-5,81,48,23,1027,1024,1021,,,,18,10,29,0.00,,,182<br />
2016-2-19,11,9,7,8,4,0,87,71,54,1027,1024,1022,8,8,7,21,8,40,0.00,,中雨,76<br />
2016-2-20,12,8,5,4,-4,-10,76,47,21,1030,1028,1025,8,7,5,32,18,43,0.00,,,347<br />
2016-2-21,12,7,3,3,-1,-5,81,57,33,1031,1029,1028,10,10,10,26,11,32,0.00,,中雨,126<br />
2016-2-22,8,7,5,6,4,1,93,85,62,1030,1028,1025,10,9,6,26,16,,0.00,5,中雨,84<br />
2016-2-23,10,8,6,5,3,2,93,78,62,1036,1032,1029,10,9,4,26,16,,0.00,5,,3<br />
2016-2-24,9,7,4,2,-2,-6,76,57,40,1039,1037,1035,10,9,6,26,18,32,0.00,3,,26<br />
2016-2-25,12,7,2,0,-2,-4,75,57,38,1038,1036,1033,,,,21,10,,0.00,,,142<br />
2016-2-26,17,11,5,5,3,0,81,62,37,1033,1029,1025,8,7,7,21,13,,0.00,,,167<br />
2016-2-27,20,13,6,7,4,0,93,58,26,1026,1024,1022,8,8,8,21,11,,0.00,,,186<br />
2016-2-28,21,13,7,8,4,2,76,61,30,1031,1024,1021,7,6,4,40,19,58,0.00,5,,252<br />
2016-2-29,12,7,3,2,-3,-6,76,53,28,1034,1032,1031,10,8,6,29,19,40,0.00,1,,350<br />
2016-3-1,12,6,1,2,-3,-6,71,52,33,1033,1029,1027,,,,18,10,,0.00,,,115<br />
2016-3-2,18,12,6,7,4,2,87,65,42,1027,1024,1021,8,8,6,21,14,,0.00,,,143<br />
2016-3-3,24,17,10,11,8,7,82,62,34,1022,1019,1017,8,6,5,14,10,,0.00,,,143<br />
2016-3-4,24,19,15,15,12,7,88,68,36,1019,1017,1016,,,,29,14,,0.00,,,142<br />
2016-3-5,26,19,11,15,13,10,94,71,39,1019,1016,1014,8,5,2,26,14,,0.00,5,,164<br />
2016-3-6,12,11,10,10,9,9,100,88,82,1020,1019,1017,6,4,2,26,14,35,0.00,6,,56<br />
2016-3-7,21,16,10,12,11,9,100,83,56,1018,1016,1013,8,4,1,26,11,35,0.00,6,,128<br />
2016-3-8,13,9,6,11,8,4,100,91,87,1020,1016,1013,10,7,3,43,21,61,0.00,5,中雨-雷暴,49<br />
2016-3-9,7,6,4,4,1,-2,93,71,57,1029,1025,1020,10,10,10,35,29,50,0.00,6,中雨,28<br />
2016-3-10,7,3,1,0,-3,-6,87,59,43,1032,1030,1029,10,10,10,29,23,43,0.00,3,中雨,348<br />
2016-3-11,11,6,0,-2,-5,-9,80,51,26,1031,1028,1025,,,,18,6,,0.00,,,255<br />
2016-3-12,12,8,4,4,-1,-4,76,56,41,1026,1023,1019,7,7,7,32,16,47,0.00,,中雨,140<br />
2016-3-13,11,9,7,8,6,4,87,84,76,1024,1020,1018,10,6,5,26,14,,0.00,4,中雨,34<br />
2016-3-14,13,9,5,4,3,1,87,69,44,1027,1025,1024,10,9,7,21,16,50,0.00,5,,10<br />
2016-3-15,13,8,4,4,2,-1,87,64,44,1025,1022,1019,8,6,5,26,11,,0.00,,,109<br />
2016-3-16,20,14,8,9,6,4,82,64,37,1020,1018,1016,10,9,8,21,13,,0.00,4,,123<br />
2016-3-17,19,14,11,14,12,9,100,84,64,1019,1015,1012,10,7,2,21,14,,0.00,5,中雨,125<br />
2016-3-18,20,17,14,15,14,12,100,85,64,1014,1011,1010,7,4,1,18,6,,0.00,5,中雨,355<br />
2016-3-19,16,13,9,13,12,7,94,85,77,1022,1017,1013,10,9,6,18,10,,0.00,6,,10<br />
2016-3-20,18,12,7,7,3,-2,93,59,27,1023,1022,1020,8,7,5,21,11,32,0.00,,,30<br />
2016-3-21,16,12,8,9,6,1,88,70,36,1024,1022,1021,10,10,10,18,13,40,0.00,3,,75<br />
2016-3-22,14,12,11,9,8,7,88,75,63,1021,1018,1016,10,10,10,26,14,,0.00,4,中雨,118<br />
2016-3-23,14,11,8,9,4,-3,82,62,41,1028,1022,1017,10,10,10,35,19,55,0.00,5,,26<br />
2016-3-24,12,9,6,0,-2,-2,66,51,38,1030,1029,1027,10,10,10,32,24,47,0.00,1,,1<br />
2016-3-25,14,9,5,0,-2,-7,70,46,23,1029,1027,1025,,,,26,14,40,0.00,,,351<br />
2016-3-26,16,10,4,2,-3,-7,81,43,20,1028,1025,1023,,,,21,8,29,0.00,,,278<br />
2016-3-27,17,12,7,5,2,-3,87,53,26,1026,1024,1023,10,7,4,26,14,43,0.00,2,,272<br />
2016-3-28,21,13,7,5,2,-3,76,46,21,1025,1023,1020,8,6,5,26,11,29,0.00,,,190<br />
2016-3-29,23,17,11,8,4,1,58,42,25,1021,1019,1017,10,10,10,18,14,32,0.00,,中雨,189<br />
2016-3-30,20,17,13,12,8,7,88,58,46,1021,1019,1018,10,10,10,18,10,,0.00,2,中雨,192<br />
2016-3-31,16,13,11,12,11,10,100,87,72,1018,1016,1015,10,7,2,14,6,29,0.00,7,中雨,163<br />
2016-4-1,21,16,10,12,11,10,100,77,49,1017,1015,1013,8,3,0,26,11,,0.00,6,雾,142<br />
2016-4-2,20,17,13,15,13,11,94,84,64,1015,1013,1012,9,6,4,21,16,,0.00,6,中雨,125<br />
2016-4-3,16,13,11,15,14,11,100,96,88,1016,1013,1011,10,4,1,26,13,,0.00,6,中雨,355<br />
2016-4-4,19,14,11,10,7,3,94,63,42,1018,1016,1014,10,9,6,18,14,32,0.00,5,中雨,35<br />
2016-4-5,18,16,13,10,7,5,77,60,49,1017,1016,1014,10,10,10,21,13,,0.00,6,,111<br />
2016-4-6,19,17,14,17,15,10,100,92,77,1015,1008,1003,10,7,3,32,18,35,0.00,4,中雨-雷暴,131<br />
2016-4-7,18,14,12,17,13,11,100,87,72,1017,1012,1005,10,6,4,26,13,,0.00,7,中雨,298<br />
2016-4-8,24,18,13,15,13,11,94,74,50,1018,1016,1015,10,6,2,21,6,,0.00,4,,137<br />
2016-4-9,24,19,15,14,12,10,82,67,44,1016,1013,1010,,,,18,8,,0.00,,,138<br />
2016-4-10,23,18,14,14,11,8,94,67,44,1015,1012,1011,8,6,5,14,8,32,0.00,,,94<br />
2016-4-11,21,16,12,11,9,4,88,64,42,1019,1016,1015,10,9,7,21,10,,0.00,4,,93<br />
2016-4-12,18,16,14,15,14,8,94,87,63,1015,1011,1007,10,7,4,21,14,,0.00,6,中雨,131<br />
2016-4-13,25,20,15,16,15,14,100,79,57,1009,1007,1004,8,5,2,18,6,,0.00,1,,72<br />
2016-4-14,28,21,15,17,13,6,94,67,26,1016,1013,1009,8,3,1,18,10,,0.00,6,,140<br />
2016-4-15,26,20,15,12,8,-1,82,51,18,1017,1015,1011,7,5,3,29,14,47,0.00,,,118<br />
2016-4-16,23,20,17,20,16,12,100,81,68,1014,1004,997,10,9,6,43,24,61,0.00,4,中雨-雷暴,183<br />
2016-4-17,22,18,15,13,8,3,82,57,33,1020,1015,1013,10,8,5,21,16,35,0.00,3,,354<br />
2016-4-18,21,16,12,10,8,3,82,60,40,1021,1019,1017,10,10,10,26,14,32,0.00,1,中雨,171<br />
2016-4-19,23,18,13,12,8,2,82,59,27,1023,1020,1018,10,10,10,35,19,50,0.00,1,,138<br />
2016-4-20,21,18,16,19,17,12,100,88,77,1018,1012,1008,10,8,5,29,21,,0.00,6,中雨,161<br />
2016-4-21,24,20,17,19,16,14,100,81,57,1011,1009,1006,10,7,5,26,13,,0.00,5,中雨,263<br />
2016-4-22,28,21,14,18,15,12,94,70,45,1011,1010,1009,10,5,2,26,8,,0.00,,中雨,159<br />
2016-4-23,17,16,14,14,13,12,94,88,77,1013,1011,1008,10,7,4,29,18,43,0.00,6,中雨,95<br />
2016-4-24,19,17,15,13,12,10,88,76,59,1015,1014,1012,10,9,7,21,14,32,0.00,7,中雨,76<br />
2016-4-25,17,16,15,13,11,7,88,75,55,1017,1015,1014,10,9,6,18,11,35,0.00,7,中雨,95<br />
2016-4-26,17,16,15,16,14,12,100,88,77,1015,1011,1008,10,8,2,21,11,,0.00,6,中雨,86<br />
2016-4-27,18,16,13,15,12,10,100,83,64,1011,1009,1007,10,7,2,29,18,47,0.00,7,中雨,312<br />
2016-4-28,23,18,14,14,12,9,94,69,41,1016,1013,1011,10,6,2,29,18,,0.00,6,中雨,321<br />
2016-4-29,27,19,12,14,10,6,94,55,28,1018,1016,1014,8,5,2,18,6,,0.00,1,,122<br />
2016-4-30,28,22,16,12,9,7,77,49,28,1014,1012,1010,8,7,5,21,16,,0.00,,,150<br />
2016-5-1,29,22,16,18,14,11,82,63,33,1012,1010,1008,,,,29,14,40,0.00,,,141<br />
